id,compound_id,health_effect_id,"orig_health_effect_name","orig_compound_name","orig_citation","citation","citation_type","created_at","updated_at",creator_id,updater_id,source_id,"source_type"
25,2451,8,"5-HETE-Inhibitor","RESVERATROL",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,2451,"Compound"
26,3103,8,"5-HETE-Inhibitor","EICOSAPENTAENOIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,3103,"Compound"
27,5753,8,"5-HETE-Inhibitor","VITAMIN-E",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,5753,"Compound"
28,10397,8,"5-HETE-Inhibitor","TOCOPHEROL",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,10397,"Compound"
29,12295,8,"5-HETE-Inhibitor","CURCUMIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,12295,"Compound"
30,2451,9,"5-HT-Inhibitor","RESVERATROL",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,2451,"Compound"
31,2536,9,"5-HT-Inhibitor","RUTIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,2536,"Compound"
32,5892,9,"5-HT-Inhibitor","PARTHENOLIDE",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,5892,"Compound"
33,624,10,"5-Lipoxygenase-Inhibitor","FISETIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,624,"Compound"
34,633,10,"5-Lipoxygenase-Inhibitor","KAEMPFEROL",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,633,"Compound"
35,2451,10,"5-Lipoxygenase-Inhibitor","RESVERATROL",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,2451,"Compound"
36,2515,10,"5-Lipoxygenase-Inhibitor","OSTHOL",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,2515,"Compound"
37,2576,10,"5-Lipoxygenase-Inhibitor","(-)-EPICATECHIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,2576,"Compound"
38,2775,10,"5-Lipoxygenase-Inhibitor","AESCULETIN|ESCULETIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,2775,"Compound"
39,5892,10,"5-Lipoxygenase-Inhibitor","PARTHENOLIDE",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,5892,"Compound"
40,7868,10,"5-Lipoxygenase-Inhibitor","CIS-METHYLSULPHINOTHIOIC-ACID-S-1-PROPENYLESTER",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,7868,"Compound"
41,7869,10,"5-Lipoxygenase-Inhibitor","CIS-N-PROPYLSULPHINOTHIOIC-ACID-S-1-PROPENYLESTER",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,7869,"Compound"
42,7903,10,"5-Lipoxygenase-Inhibitor","N-PROPYLSULPHINOTHIOIC-ACID-S-N-PROPYLESTER",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,7903,"Compound"
43,7926,10,"5-Lipoxygenase-Inhibitor","TRANS-5-ETHYL-4,6,7-TRITHIA-2-DECENE-4-S-OXIDE",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,7926,"Compound"
44,7928,10,"5-Lipoxygenase-Inhibitor","TRANS-METHYLSULPHINOTHIOIC-ACID-S-1-PROPENYLESTER",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,7928,"Compound"
45,7929,10,"5-Lipoxygenase-Inhibitor","TRANS-N-PROPYLSULPHINOTHIOIC-ACID-S-1-PROPENYLESTER",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,7929,"Compound"
46,7931,10,"5-Lipoxygenase-Inhibitor","TRANS-TRANS-5-ETHYL-4,6,7-TRITHIA-2,8-DECADIENE-4-S-OXIDE",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,7931,"Compound"
47,10529,10,"5-Lipoxygenase-Inhibitor","ZINGERONE",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,10529,"Compound"
48,11864,10,"5-Lipoxygenase-Inhibitor","SHOGAOL",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,11864,"Compound"
49,11906,10,"5-Lipoxygenase-Inhibitor","NORDIHYDROGUAIARETIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,11906,"Compound"
50,11907,10,"5-Lipoxygenase-Inhibitor","QUERCETIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,11907,"Compound"
51,12295,10,"5-Lipoxygenase-Inhibitor","CURCUMIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,12295,"Compound"
52,12414,10,"5-Lipoxygenase-Inhibitor","CAPSAICIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,12414,"Compound"
53,14817,10,"5-Lipoxygenase-Inhibitor","CARNOSOL",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,14817,"Compound"
54,12295,11,"8-HETE-Inhibitor","CURCUMIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,12295,"Compound"
55,2427,12,"ABeta-Inhibitor","ROSMARINIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,2427,"Compound"
56,449,13,"Abortifacient","PIPERINE",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,449,"Compound"
57,1521,13,"Abortifacient","VERBENALIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,1521,"Compound"
58,2096,13,"Abortifacient","BOLDINE",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,2096,"Compound"
59,3674,13,"Abortifacient","PROSTAGLANDIN-E-2",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,3674,"Compound"
60,4484,13,"Abortifacient","EUPHOL",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,4484,"Compound"
61,5845,13,"Abortifacient","PLUMBAGIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,5845,"Compound"
62,6195,13,"Abortifacient","ALPHA-MOMORCHARIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:07","2014-11-05 14:49:49",NULL,NULL,6195,"Compound"
63,6196,13,"Abortifacient","BETA-MOMORCHARIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,6196,"Compound"
64,6199,13,"Abortifacient","CHARANTIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,6199,"Compound"
65,8422,13,"Abortifacient","ZEARALENONE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,8422,"Compound"
66,9021,13,"Abortifacient","BETAINE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,9021,"Compound"
67,11831,13,"Abortifacient","GENISTEIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,11831,"Compound"
68,11932,13,"Abortifacient","APIOLE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,11932,"Compound"
69,12161,13,"Abortifacient","SEROTONIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,12161,"Compound"
70,12222,13,"Abortifacient","FORMONONETIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,12222,"Compound"
71,12578,13,"Abortifacient","ELLAGIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,12578,"Compound"
72,13037,13,"Abortifacient","OLEANOLIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,13037,"Compound"
73,14963,13,"Abortifacient","BETA-THUJONE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,14963,"Compound"
74,14965,13,"Abortifacient","ALPHA-THUJONE|THUJONE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,14965,"Compound"
75,15009,13,"Abortifacient","BETA-BISABOLENE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,15009,"Compound"
76,1128,14,"Absorbent","STARCH",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,1128,"Compound"
77,8284,15,"Acantholytic","ALLYL-MERCAPTAN",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,8284,"Compound"
78,8314,15,"Acantholytic","ALLYLMETHYLSULFIDE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,8314,"Compound"
79,15392,15,"Acantholytic","ALLYL-SULFIDE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,15392,"Compound"
80,3358,16,"Acaricide","OXALIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,3358,"Compound"
81,3368,16,"Acaricide","BENZYL-ACETATE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,3368,"Compound"
82,8769,16,"Acaricide","BUTYLIDENE-PHTHALIDE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,8769,"Compound"
83,8782,16,"Acaricide","CINNAMALDEHYDE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,8782,"Compound"
84,9779,16,"Acaricide","MENTHONE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,9779,"Compound"
85,11916,16,"Acaricide","O-ANISALDEHYDE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,11916,"Compound"
86,12174,16,"Acaricide","EUGENOL",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,12174,"Compound"
87,12396,16,"Acaricide","ACETYL-EUGENOL",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,12396,"Compound"
88,12807,16,"Acaricide","FORMIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,12807,"Compound"
89,12847,16,"Acaricide","BENZYL-BENZOATE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,12847,"Compound"
90,13570,16,"Acaricide","LIMONENE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,13570,"Compound"
91,14619,16,"Acaricide","1,8-CINEOLE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:49",NULL,NULL,14619,"Compound"
92,14620,16,"Acaricide","CITRONELLAL",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:50",NULL,NULL,14620,"Compound"
93,14798,16,"Acaricide","THYMOL",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:50",NULL,NULL,14798,"Compound"
94,14913,16,"Acaricide","PERILLALDEHYDE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:50",NULL,NULL,14913,"Compound"
95,14943,16,"Acaricide","LINALOOL",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:50",NULL,NULL,14943,"Compound"
96,15345,16,"Acaricide","ALPHA-CADINOL",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:50",NULL,NULL,15345,"Compound"
97,15974,16,"Acaricide","ALPHA-TERPINENE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:50",NULL,NULL,15974,"Compound"
98,15975,16,"Acaricide","GAMMA-TERPINENE",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:50",NULL,NULL,15975,"Compound"
99,3718,17,"Acarifuge","SULFUR",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:50",NULL,NULL,3718,"Compound"
100,614,18,"ACE-Inhibitor","ISOVITEXIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:08","2014-11-05 14:49:50",NULL,NULL,614,"Compound"
101,624,18,"ACE-Inhibitor","FISETIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,624,"Compound"
102,662,18,"ACE-Inhibitor","GALLIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,662,"Compound"
103,742,18,"ACE-Inhibitor","GOSSYPOL",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,742,"Compound"
104,958,18,"ACE-Inhibitor","PROCYANIDIN-B-1",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,958,"Compound"
105,1156,18,"ACE-Inhibitor","CAPSIANOSIDE-C",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,1156,"Compound"
106,1498,18,"ACE-Inhibitor","GLUTATHIONE",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,1498,"Compound"
107,2257,18,"ACE-Inhibitor","L-ARGININE",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,2257,"Compound"
108,2501,18,"ACE-Inhibitor","VITEXIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,2501,"Compound"
109,2571,18,"ACE-Inhibitor","(+)-CATECHIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,2571,"Compound"
110,2576,18,"ACE-Inhibitor","(-)-EPICATECHIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,2576,"Compound"
111,2630,18,"ACE-Inhibitor","VICENIN-2",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,2630,"Compound"
112,2663,18,"ACE-Inhibitor","CAPSIANOSIDE-I",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,2663,"Compound"
113,2665,18,"ACE-Inhibitor","CAPSIANOSIDE-D",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,2665,"Compound"
114,3730,18,"ACE-Inhibitor","ZINC",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,3730,"Compound"
115,4237,18,"ACE-Inhibitor","NICOTIANAMINE",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,4237,"Compound"
116,6775,18,"ACE-Inhibitor","CORILAGIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,6775,"Compound"
117,11660,18,"ACE-Inhibitor","SYRINGIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,11660,"Compound"
118,11887,18,"ACE-Inhibitor","QUERCITRIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,11887,"Compound"
119,12208,18,"ACE-Inhibitor","PROCYANIDIN-B-3",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,12208,"Compound"
120,12289,18,"ACE-Inhibitor","CAPSIANOSIDE-A",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,12289,"Compound"
121,12578,18,"ACE-Inhibitor","ELLAGIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,12578,"Compound"
122,14419,18,"ACE-Inhibitor","ALPHA-TERPINEOL",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,14419,"Compound"
123,14656,18,"ACE-Inhibitor","OLEUROPEIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,14656,"Compound"
124,15974,18,"ACE-Inhibitor","ALPHA-TERPINENE",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,15974,"Compound"
125,15975,18,"ACE-Inhibitor","GAMMA-TERPINENE",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,15975,"Compound"
126,16015,18,"ACE-Inhibitor","OLEOSIDE",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,16015,"Compound"
127,16396,18,"ACE-Inhibitor","ISOQUERCITRIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,16396,"Compound"
128,16485,18,"ACE-Inhibitor","ASTRAGALIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,16485,"Compound"
129,16498,18,"ACE-Inhibitor","AFZELIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,16498,"Compound"
130,17099,18,"ACE-Inhibitor","QUERCETIN-3-O-BETA-D-GLUCURONIDE",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,17099,"Compound"
131,17121,18,"ACE-Inhibitor","(-)-EPICATECHIN-3-O-GALLATE",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,17121,"Compound"
132,17407,18,"ACE-Inhibitor","MYRCENE",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,17407,"Compound"
133,17707,18,"ACE-Inhibitor","(-)-EPIGALLOCATECHIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,17707,"Compound"
134,17709,18,"ACE-Inhibitor","(-)-EPIGALLOCATECHIN-3-O-GALLATE",NULL,"DUKE","DATABASE","2012-04-10 14:16:09","2014-11-05 14:49:50",NULL,NULL,17709,"Compound"
135,17712,18,"ACE-Inhibitor","(+)-GALLOCATECHIN",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,17712,"Compound"
136,17714,18,"ACE-Inhibitor","PROCYANIDIN-B-6",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,17714,"Compound"
137,17722,18,"ACE-Inhibitor","PROCYANIDIN-C-2",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,17722,"Compound"
138,17121,19,"Acetyl-CoA-Carboxylase-Inhibitor","(-)-EPICATECHIN-GALLATE",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,17121,"Compound"
139,17709,19,"Acetyl-CoA-Carboxylase-Inhibitor","(-)-EPIGALLOCATECHIN-GALLATE",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,17709,"Compound"
140,11827,20,"Acetylcholinergic","GLUCOSE",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,11827,"Compound"
141,13570,21,"AChE-Inhibitor","LIMONENE",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,13570,"Compound"
142,14301,21,"AChE-Inhibitor","PULEGONE",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,14301,"Compound"
143,14602,21,"AChE-Inhibitor","D-CARVONE",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,14602,"Compound"
144,1112,22,"Acidifier","TARTARIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,1112,"Compound"
145,1224,23,"Acidulant","ASCORBIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,1224,"Compound"
146,3292,23,"Acidulant","FUMARIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,3292,"Compound"
147,3293,23,"Acidulant","LACTIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,3293,"Compound"
148,8300,23,"Acidulant","ACETIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,8300,"Compound"
149,8310,23,"Acidulant","ADIPIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,8310,"Compound"
150,13383,23,"Acidulant","PHOSPHORIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,13383,"Compound"
151,13900,23,"Acidulant","HEXANOIC-ACID",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,13900,"Compound"
152,3636,24,"Acnegenic","IODINE",NULL,"DUKE","DATABASE","2012-04-10 14:16:10","2014-11-05 14:49:50",NULL,NULL,3636,"Compound"
