id,"external_id","annotations",compound_id,creator_id,updater_id,"created_at","updated_at"
56,"CHEBI:18019","L-alpha-amino acid
lysine
aspartate family amino acid
",474,NULL,NULL,"2015-02-23 22:43:16","2015-02-23 22:43:16"
57,"C00047","Common amino acids
",474,NULL,NULL,"2015-02-23 22:43:16","2015-02-23 22:43:16"
58,"CHEBI:17752","acetyl-L-lysine
N(6)-acyl-L-lysine
",476,NULL,NULL,"2015-02-23 22:43:19","2015-02-23 22:43:19"
59,"CHEBI:15428","alpha-amino acid
serine family amino acid
",484,NULL,NULL,"2015-02-23 22:43:30","2015-02-23 22:43:30"
60,"C00037","Common amino acids
Amino acids
",484,NULL,NULL,"2015-02-23 22:43:30","2015-02-23 22:43:30"
61,"CHEBI:609827","L-alpha-amino acid
",505,NULL,NULL,"2015-02-23 22:44:06","2015-02-23 22:44:06"
62,"CHEBI:17929","methyl-L-arginine
",508,NULL,NULL,"2015-02-23 22:44:13","2015-02-23 22:44:13"
63,"CHEBI:25682","methyl-L-arginine
",509,NULL,NULL,"2015-02-23 22:44:15","2015-02-23 22:44:15"
64,"CHEBI:28229","methyl-L-arginine
",510,NULL,NULL,"2015-02-23 22:44:17","2015-02-23 22:44:17"
65,"CHEBI:15727","dipeptide
",511,NULL,NULL,"2015-02-23 22:44:19","2015-02-23 22:44:19"
66,"CHEBI:63961","tripeptide
",517,NULL,NULL,"2015-02-23 22:44:28","2015-02-23 22:44:28"
67,"NALPHANALPHANALPHA-TRIMETHYL-L-H","a small molecule
",520,NULL,NULL,"2015-02-23 22:44:31","2015-02-23 22:44:31"
68,"CHEBI:15699","homoserine
",522,NULL,NULL,"2015-02-23 22:44:32","2015-02-23 22:44:32"
69,"C00263","Other amino acids
",522,NULL,NULL,"2015-02-23 22:44:33","2015-02-23 22:44:33"
70,"CHEBI:30913","pipecolic acid
",546,NULL,NULL,"2015-02-23 22:45:00","2015-02-23 22:45:00"
71,"C00408","Piperidine alkaloids
",546,NULL,NULL,"2015-02-23 22:45:00","2015-02-23 22:45:00"
72,"CHEBI:16977","L-alpha-amino acid
pyruvate family amino acid
alanine
",556,NULL,NULL,"2015-02-23 22:45:09","2015-02-23 22:45:09"
73,"C00041","Common amino acids
",556,NULL,NULL,"2015-02-23 22:45:09","2015-02-23 22:45:09"
74,"CHEBI:18145","alpha-tocopherol
",565,NULL,NULL,"2015-02-23 22:45:18","2015-02-23 22:45:18"
75,"C02477","Vitamin E
Fat-soluble vitamins
",565,NULL,NULL,"2015-02-23 22:45:18","2015-02-23 22:45:18"
76,"LMPR02020000","Vitamin E
",565,NULL,NULL,"2015-02-23 22:45:18","2015-02-23 22:45:18"
77,"CHEBI:15765","dopa
",567,NULL,NULL,"2015-02-23 22:45:23","2015-02-23 22:45:23"
78,"C00355","Other amino acids
Biogenic amines
",567,NULL,NULL,"2015-02-23 22:45:23","2015-02-23 22:45:23"
79,"CHEBI:2877","dipeptide
",569,NULL,NULL,"2015-02-23 22:45:27","2015-02-23 22:45:27"
80,"CHEBI:17203","L-alpha-amino acid
glutamine family amino acid
proline
",570,NULL,NULL,"2015-02-23 22:45:30","2015-02-23 22:45:30"
81,"C00148","Common amino acids
",570,NULL,NULL,"2015-02-23 22:45:30","2015-02-23 22:45:30"
82,"CHEBI:16347","carnitine
",572,NULL,NULL,"2015-02-23 22:45:34","2015-02-23 22:45:34"
83,"CHEBI:16709","monohydroxypyridine
hydroxymethylpyridine
methylpyridines
vitamin B6
",574,NULL,NULL,"2015-02-23 22:45:37","2015-02-23 22:45:37"
84,"C00314","Water-soluble vitamins
",574,NULL,NULL,"2015-02-23 22:45:37","2015-02-23 22:45:37"
85,"PYRIDOXINE","a vitamin B6
",574,NULL,NULL,"2015-02-23 22:45:37","2015-02-23 22:45:37"
86,"CHEBI:15709","8-hydroxyfurocoumarin
",578,NULL,NULL,"2015-02-23 22:45:43","2015-02-23 22:45:43"
87,"C00841","Furanocoumarins
",578,NULL,NULL,"2015-02-23 22:45:43","2015-02-23 22:45:43"
88,"CPD-13041","an 8-hydroxyfurocoumarin
",578,NULL,NULL,"2015-02-23 22:45:43","2015-02-23 22:45:43"
89,"LMPK12110091","Flavones and Flavonols
",582,NULL,NULL,"2015-02-23 22:45:48","2015-02-23 22:45:48"
90,"C10065","xanthenes
",584,NULL,NULL,"2015-02-23 22:45:50","2015-02-23 22:45:50"
91,"LMPK12090021","Coumestan flavonoids
",586,NULL,NULL,"2015-02-23 22:45:53","2015-02-23 22:45:53"
92,"CHEBI:4932","dihydroxyflavone
trimethoxyflavone
",591,NULL,NULL,"2015-02-23 22:45:59","2015-02-23 22:45:59"
93,"C10040","Flavones and Flavonols
flavones
",591,NULL,NULL,"2015-02-23 22:45:59","2015-02-23 22:45:59"
94,"LMPK12111228","Flavones and Flavonols
",591,NULL,NULL,"2015-02-23 22:45:59","2015-02-23 22:45:59"
95,"CHEBI:6052","monomethoxyflavone
tetrahydroxyflavone
7-hydroxyflavonol
",604,NULL,NULL,"2015-02-23 22:46:12","2015-02-23 22:46:12"
96,"C10084","Flavones and Flavonols
flavonols
",604,NULL,NULL,"2015-02-23 22:46:12","2015-02-23 22:46:12"
97,"LMPK12110002","Flavones and Flavonols
",604,NULL,NULL,"2015-02-23 22:46:12","2015-02-23 22:46:12"
98,"LMPK12110897","Flavones and Flavonols
",618,NULL,NULL,"2015-02-23 22:46:21","2015-02-23 22:46:21"
99,"LMPK12111569","Flavones and Flavonols
",625,NULL,NULL,"2015-02-23 22:46:28","2015-02-23 22:46:28"
100,"CHEBI:28499","tetrahydroxyflavone
flavonols
",633,NULL,NULL,"2015-02-23 22:46:40","2015-02-23 22:46:40"
101,"C05903","Flavones and Flavonols
flavonols
",633,NULL,NULL,"2015-02-23 22:46:40","2015-02-23 22:46:40"
102,"LMPK12110003","Flavones and Flavonols
",633,NULL,NULL,"2015-02-23 22:46:40","2015-02-23 22:46:40"
103,"LMPK12110918","Flavones and Flavonols
",640,NULL,NULL,"2015-02-23 22:46:51","2015-02-23 22:46:51"
104,"LMPK12110917","Flavones and Flavonols
",641,NULL,NULL,"2015-02-23 22:46:52","2015-02-23 22:46:52"
105,"LMPK12110895","Flavones and Flavonols
",642,NULL,NULL,"2015-02-23 22:46:53","2015-02-23 22:46:53"
106,"LMPK12111017","Flavones and Flavonols
",647,NULL,NULL,"2015-02-23 22:46:58","2015-02-23 22:46:58"
107,"CHEBI:69094","dihydroxyflavone
dimethoxyflavone
",651,NULL,NULL,"2015-02-23 22:47:01","2015-02-23 22:47:01"
108,"C17765","Isoflavonoids
",651,NULL,NULL,"2015-02-23 22:47:01","2015-02-23 22:47:01"
109,"LMPK12050069","Isoflavonoids
",651,NULL,NULL,"2015-02-23 22:47:01","2015-02-23 22:47:01"
110,"LMPK12113241","Flavones and Flavonols
",652,NULL,NULL,"2015-02-23 22:47:03","2015-02-23 22:47:03"
111,"CPD-3061","a flavanone
",655,NULL,NULL,"2015-02-23 22:47:08","2015-02-23 22:47:08"
112,"CHEBI:5262","trihydroxyflavone
7-hydroxyflavonol
",657,NULL,NULL,"2015-02-23 22:47:12","2015-02-23 22:47:12"
113,"C10044","Flavones and Flavonols
",657,NULL,NULL,"2015-02-23 22:47:12","2015-02-23 22:47:12"
114,"LMPK12111653","Flavones and Flavonols
",657,NULL,NULL,"2015-02-23 22:47:12","2015-02-23 22:47:12"
115,"C11577","flavonols
",658,NULL,NULL,"2015-02-23 22:47:13","2015-02-23 22:47:13"
116,"LMPK12111654","Flavones and Flavonols
",658,NULL,NULL,"2015-02-23 22:47:13","2015-02-23 22:47:13"
117,"CHEBI:30778","trihydroxybenzoic acid
",662,NULL,NULL,"2015-02-23 22:47:18","2015-02-23 22:47:18"
118,"C01424","Gallotannins
",662,NULL,NULL,"2015-02-23 22:47:18","2015-02-23 22:47:18"
119,"LMPK12050074","Isoflavonoids
",674,NULL,NULL,"2015-02-23 22:47:29","2015-02-23 22:47:29"
120,"LMPK12050004","Isoflavonoids
",675,NULL,NULL,"2015-02-23 22:47:30","2015-02-23 22:47:30"
121,"CHEBI:17846","naringenin
",678,NULL,NULL,"2015-02-23 22:47:37","2015-02-23 22:47:37"
122,"C00509","Flavanones
",678,NULL,NULL,"2015-02-23 22:47:37","2015-02-23 22:47:37"
123,"LMPK12140001","Flavanones
",678,NULL,NULL,"2015-02-23 22:47:37","2015-02-23 22:47:37"
124,"C10112","flavones
",683,NULL,NULL,"2015-02-23 22:47:44","2015-02-23 22:47:44"
125,"LMPK12111468","Flavones and Flavonols
",683,NULL,NULL,"2015-02-23 22:47:44","2015-02-23 22:47:44"
126,"CHEBI:28412","3'-hydroxyflavanones
tetrahydroxyflavanone
",688,NULL,NULL,"2015-02-23 22:47:49","2015-02-23 22:47:49"
127,"C05631","Flavanones
",688,NULL,NULL,"2015-02-23 22:47:49","2015-02-23 22:47:49"
128,"LMPK12140002","Flavanones
",688,NULL,NULL,"2015-02-23 22:47:49","2015-02-23 22:47:49"
129,"LMPK12111478","Flavones and Flavonols
",690,NULL,NULL,"2015-02-23 22:47:54","2015-02-23 22:47:54"
130,"LMPK12111486","Flavones and Flavonols
",691,NULL,NULL,"2015-02-23 22:47:57","2015-02-23 22:47:57"
131,"C14536","Isoflavonoids
isoflavones
",698,NULL,NULL,"2015-02-23 22:48:06","2015-02-23 22:48:06"
132,"LMPK12050104","Isoflavonoids
",698,NULL,NULL,"2015-02-23 22:48:06","2015-02-23 22:48:06"
133,"CHEBI:77444","alkene
",699,NULL,NULL,"2015-02-23 22:48:07","2015-02-23 22:48:07"
134,"LMFA11000332","Hydrocarbons
",699,NULL,NULL,"2015-02-23 22:48:07","2015-02-23 22:48:07"
135,"CHEBI:32368","medium-chain fatty acid
straight-chain saturated fatty acid
",700,NULL,NULL,"2015-02-23 22:48:09","2015-02-23 22:48:09"
136,"C17715","Straight chain fatty acids
",700,NULL,NULL,"2015-02-23 22:48:09","2015-02-23 22:48:09"
137,"LMFA01010011","Straight chain fatty acids
",700,NULL,NULL,"2015-02-23 22:48:10","2015-02-23 22:48:10"
138,"LMGL03010003","Triacylglycerols
",704,NULL,NULL,"2015-02-23 22:48:16","2015-02-23 22:48:16"
139,"CHEBI:15354","cholines
",710,NULL,NULL,"2015-02-23 22:48:27","2015-02-23 22:48:27"
140,"C00114","Pesticides
",710,NULL,NULL,"2015-02-23 22:48:27","2015-02-23 22:48:27"
141,"CHOLINE","a small molecule
",710,NULL,NULL,"2015-02-23 22:48:27","2015-02-23 22:48:27"
142,"CPD-8223","a halide
",725,NULL,NULL,"2015-02-23 22:48:48","2015-02-23 22:48:48"
143,"CHEBI:27789","chloroethanes
",726,NULL,NULL,"2015-02-23 22:48:51","2015-02-23 22:48:51"
144,"12-DICHLOROETHANE","a small molecule
",726,NULL,NULL,"2015-02-23 22:48:51","2015-02-23 22:48:51"
145,"CHEBI:37127","alpha,beta-unsaturated monocarboxylic acid
monounsaturated fatty acid
methyl-branched fatty acid
short-chain fatty acid
",736,NULL,NULL,"2015-02-23 22:49:03","2015-02-23 22:49:03"
146,"LMFA01020097","Branched fatty acids
",736,NULL,NULL,"2015-02-23 22:49:03","2015-02-23 22:49:03"
147,"CHEBI:36596","carbonate ester
",737,NULL,NULL,"2015-02-23 22:49:04","2015-02-23 22:49:04"
148,"CHEBI:38358","alpha,beta-unsaturated monocarboxylic acid
sorbic acid
",738,NULL,NULL,"2015-02-23 22:49:05","2015-02-23 22:49:05"
149,"LMFA01030100","Unsaturated fatty acids
",738,NULL,NULL,"2015-02-23 22:49:05","2015-02-23 22:49:05"
150,"CHEBI:36592","pyrrolidine-2-ones
",741,NULL,NULL,"2015-02-23 22:49:09","2015-02-23 22:49:09"
151,"CHEBI:63866","primary aliphatic amine
",745,NULL,NULL,"2015-02-23 22:49:13","2015-02-23 22:49:13"
152,"CHEBI:9661","triglyceride
",751,NULL,NULL,"2015-02-23 22:49:16","2015-02-23 22:49:16"
153,"LMGL03012615","Triacylglycerols
",751,NULL,NULL,"2015-02-23 22:49:16","2015-02-23 22:49:16"
154,"CHEBI:16602","chloroethenes
",752,NULL,NULL,"2015-02-23 22:49:18","2015-02-23 22:49:18"
155,"TRICHLOROETHENE","a small molecule
",752,NULL,NULL,"2015-02-23 22:49:18","2015-02-23 22:49:18"
156,"CHEBI:16236","primary alcohol
alkyl alcohol
ethanols
",753,NULL,NULL,"2015-02-23 22:49:23","2015-02-23 22:49:23"
157,"ETOH","a primary alcohol
a short-chain alcohol
",753,NULL,NULL,"2015-02-23 22:49:23","2015-02-23 22:49:23"
158,"CHEBI:53016","sulfonamide
isoxazoles
",755,NULL,NULL,"2015-02-23 22:49:28","2015-02-23 22:49:28"
159,"CHEBI:17754","triol
alditol
",756,NULL,NULL,"2015-02-23 22:49:31","2015-02-23 22:49:31"
160,"C00116","Glycerols
",756,NULL,NULL,"2015-02-23 22:49:31","2015-02-23 22:49:31"
161,"GLYCEROL","a sugar alcohol
",756,NULL,NULL,"2015-02-23 22:49:31","2015-02-23 22:49:31"
162,"CHEBI:35255","one-carbon compound
chloromethanes
",760,NULL,NULL,"2015-02-23 22:49:39","2015-02-23 22:49:39"
163,"CPD-843","a small molecule
",760,NULL,NULL,"2015-02-23 22:49:39","2015-02-23 22:49:39"
164,"CHEBI:29005","cycloalkane
",761,NULL,NULL,"2015-02-23 22:49:41","2015-02-23 22:49:41"
165,"CPD-8923","a carbohydrate
",761,NULL,NULL,"2015-02-23 22:49:41","2015-02-23 22:49:41"
166,"CHEBI:6824","polycyclic cage
",762,NULL,NULL,"2015-02-23 22:49:43","2015-02-23 22:49:43"
167,"CHEBI:64276","dialdehyde
",763,NULL,NULL,"2015-02-23 22:49:45","2015-02-23 22:49:45"
168,"CPD-9052","a small molecule
",763,NULL,NULL,"2015-02-23 22:49:45","2015-02-23 22:49:45"
169,"CHEBI:28262","sulfoxide
",764,NULL,NULL,"2015-02-23 22:49:47","2015-02-23 22:49:47"
170,"DMSO","a small molecule
",764,NULL,NULL,"2015-02-23 22:49:47","2015-02-23 22:49:47"
171,"CHEBI:16000","primary alcohol
primary amine
ethanolamines
",769,NULL,NULL,"2015-02-23 22:49:56","2015-02-23 22:49:56"
172,"C00189","Biogenic amines
",769,NULL,NULL,"2015-02-23 22:49:56","2015-02-23 22:49:56"
173,"ETHANOL-AMINE","a small molecule
",769,NULL,NULL,"2015-02-23 22:49:56","2015-02-23 22:49:56"
174,"CPD-4746","a sesquiterpenoid
",770,NULL,NULL,"2015-02-23 22:49:59","2015-02-23 22:49:59"
175,"CHEBI:9592","2-methylbut-2-enoic acid
",774,NULL,NULL,"2015-02-23 22:50:03","2015-02-23 22:50:03"
176,"LMFA01020030","Branched fatty acids
",774,NULL,NULL,"2015-02-23 22:50:03","2015-02-23 22:50:03"
177,"CHEBI:36431","2-methylbut-2-enoic acid
",775,NULL,NULL,"2015-02-23 22:50:06","2015-02-23 22:50:06"
178,"LMFA01020029","Branched fatty acids
",775,NULL,NULL,"2015-02-23 22:50:06","2015-02-23 22:50:06"
179,"CHEBI:18091","dithiolanes
sulfur-containing carboxylic acid
dithiolanecarboxylic acid
",778,NULL,NULL,"2015-02-23 22:50:11","2015-02-23 22:50:11"
180,"CHEBI:17196","L-alpha-amino acid
aspartate family amino acid
asparagine
",787,NULL,NULL,"2015-02-23 22:50:28","2015-02-23 22:50:28"
181,"C00152","Common amino acids
",787,NULL,NULL,"2015-02-23 22:50:28","2015-02-23 22:50:28"
182,"CPD-13290","a disaccharide
a 1->3-&beta;-D-xylan oligosaccharide
",789,NULL,NULL,"2015-02-23 22:50:32","2015-02-23 22:50:32"
183,"CHEBI:507499","pentahydroxyflavone
",790,NULL,NULL,"2015-02-23 22:50:34","2015-02-23 22:50:34"
184,"C10192","Flavones and Flavonols
flavones
",790,NULL,NULL,"2015-02-23 22:50:34","2015-02-23 22:50:34"
185,"LMPK12110847","Flavones and Flavonols
",790,NULL,NULL,"2015-02-23 22:50:34","2015-02-23 22:50:34"
186,"APIGENIN","a chalcone
",801,NULL,NULL,"2015-02-23 22:50:47","2015-02-23 22:50:47"
187,"CHEBI:36635","methylbenzoic acid
",805,NULL,NULL,"2015-02-23 22:50:56","2015-02-23 22:50:56"
188,"CHEBI:27434","tolualdehyde
",806,NULL,NULL,"2015-02-23 22:50:58","2015-02-23 22:50:58"
189,"CHEBI:28617","tolualdehyde
",808,NULL,NULL,"2015-02-23 22:51:00","2015-02-23 22:51:00"
190,"CPD-8773","an aryl aldehyde
",808,NULL,NULL,"2015-02-23 22:51:00","2015-02-23 22:51:00"
191,"CHEBI:47696","bromophenol
",813,NULL,NULL,"2015-02-23 22:51:06","2015-02-23 22:51:06"
192,"CHEBI:19333","organochlorine compound
monomethoxybenzene
",814,NULL,NULL,"2015-02-23 22:51:07","2015-02-23 22:51:07"
193,"TRICHLOROANISOLE","a small molecule
",814,NULL,NULL,"2015-02-23 22:51:07","2015-02-23 22:51:07"
194,"CHEBI:64344","methyl ketone
aromatic ketone
benzenetriol
",815,NULL,NULL,"2015-02-23 22:51:08","2015-02-23 22:51:08"
195,"CHEBI:35164","dihydroxyacetophenone
",831,NULL,NULL,"2015-02-23 22:51:22","2015-02-23 22:51:22"
196,"CPD-242","a small molecule
",831,NULL,NULL,"2015-02-23 22:51:22","2015-02-23 22:51:22"
197,"CHEBI:18414","dihydroxyacetophenone
",833,NULL,NULL,"2015-02-23 22:51:24","2015-02-23 22:51:24"
198,"CHEBI:18346","phenols
benzaldehydes
",838,NULL,NULL,"2015-02-23 22:51:29","2015-02-23 22:51:29"
199,"VANILLIN","a small molecule
",838,NULL,NULL,"2015-02-23 22:51:29","2015-02-23 22:51:29"
200,"CHEBI:48408","aromatic ether
phenols
benzaldehydes
",841,NULL,NULL,"2015-02-23 22:51:34","2015-02-23 22:51:34"
201,"CHEBI:17189","dihydroxybenzoic acid
",844,NULL,NULL,"2015-02-23 22:51:39","2015-02-23 22:51:39"
202,"CHEBI:30816","monohydroxybenzoic acid
methoxybenzoic acid
",846,NULL,NULL,"2015-02-23 22:51:42","2015-02-23 22:51:42"
203,"CHEBI:36062","catechols
dihydroxybenzoic acid
",847,NULL,NULL,"2015-02-23 22:51:44","2015-02-23 22:51:44"
204,"CHEBI:39912","resorcinols
dihydroxybenzoic acid
",848,NULL,NULL,"2015-02-23 22:51:46","2015-02-23 22:51:46"
205,"CHEBI:32980","hydroxy monocarboxylic acid
",849,NULL,NULL,"2015-02-23 22:51:49","2015-02-23 22:51:49"
206,"CHEBI:42438","phenols
",857,NULL,NULL,"2015-02-23 22:51:59","2015-02-23 22:51:59"
207,"CPD-1072","an aromatic compound
",857,NULL,NULL,"2015-02-23 22:51:59","2015-02-23 22:51:59"
208,"CHEBI:4630","monomethoxyflavone
trihydroxyflavone
3'-hydroxyflavonoid
",861,NULL,NULL,"2015-02-23 22:52:05","2015-02-23 22:52:05"
209,"C10038","Flavones and Flavonols
flavones
",861,NULL,NULL,"2015-02-23 22:52:05","2015-02-23 22:52:05"
210,"LMPK12110824","Flavones and Flavonols
",861,NULL,NULL,"2015-02-23 22:52:05","2015-02-23 22:52:05"
211,"LMPK12110090","Flavones and Flavonols
",862,NULL,NULL,"2015-02-23 22:52:07","2015-02-23 22:52:07"
212,"CHEBI:78441","long-chain fatty aldehyde
",876,NULL,NULL,"2015-02-23 22:52:30","2015-02-23 22:52:30"
213,"LMFA06000108","Fatty aldehydes
",876,NULL,NULL,"2015-02-23 22:52:30","2015-02-23 22:52:30"
214,"CPD-7884","a fatty aldehyde
",876,NULL,NULL,"2015-02-23 22:52:30","2015-02-23 22:52:30"
215,"CHEBI:10432","naphthol
",877,NULL,NULL,"2015-02-23 22:52:32","2015-02-23 22:52:32"
216,"CPD-8131","a small molecule
",877,NULL,NULL,"2015-02-23 22:52:32","2015-02-23 22:52:32"
217,"CHEBI:16914","monohydroxybenzoic acid
",882,NULL,NULL,"2015-02-23 22:52:36","2015-02-23 22:52:36"
218,"CHEBI:78439","long-chain fatty aldehyde
",884,NULL,NULL,"2015-02-23 22:52:41","2015-02-23 22:52:41"
219,"LMFA06000107","Fatty aldehydes
",884,NULL,NULL,"2015-02-23 22:52:41","2015-02-23 22:52:41"
220,"CPD-7883","a fatty aldehyde
",884,NULL,NULL,"2015-02-23 22:52:41","2015-02-23 22:52:41"
221,"CHEBI:17594","hydroquinones
benzenediol
",885,NULL,NULL,"2015-02-23 22:52:42","2015-02-23 22:52:42"
222,"HYDROQUINONE","an electron-transfer-related quinol
a benzenediol
",885,NULL,NULL,"2015-02-23 22:52:42","2015-02-23 22:52:42"
223,"CHEBI:69441","organic molecular entity
",886,NULL,NULL,"2015-02-23 22:52:44","2015-02-23 22:52:44"
