id,compound_id,"origin","storage_form","maximum_quantity","storage_condition","contact_name","contact_address","contact_email","created_at","updated_at",export,"purity","description","spectra_details","delivery_time","stability",admin_user_id,"public_id","cas_number","taxonomy_class","taxonomy_family","experimental_logp","experimental_solubility","melting_point","food_of_origin","production_method_reference_text","production_method_reference_file_name","production_method_reference_content_type",production_method_reference_file_size,"production_method_reference_updated_at","elemental_formula","minimum_quantity","quantity_units","available_spectra","storage_conditions"
1,9021,"commercial","solid","5","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:11","2017-01-19 02:36:09",1,NULL,NULL,NULL,NULL,NULL,10,"PC000001","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
12,571,"commercial","solid","5","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:18","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000012","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
13,572,"commercial","solid",NULL,"temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:18","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000013","","","","","","","","",NULL,NULL,NULL,NULL,"","","",NULL,"---
\"-80°C\": 1
"
14,22895,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:19","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000014","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
15,12805,"commercial","solid","8","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:19","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000015","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
16,3192,"commercial","solid","6","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:19","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000016","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
17,10510,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:20","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000017","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
18,12065,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:21","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000018","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
19,11805,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:23","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000019","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
20,574,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:24","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000020","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
21,12177,"commercial","solid","5","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:24","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000021","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
22,1946,"commercial","solid","4","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:25","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000022","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
23,1202,"commercial","solid","100","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:27","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000023","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
24,465,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:27","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000024","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
25,22460,"commercial","solid","100","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:28","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000025","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
26,1223,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:28","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000026","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
27,1224,"commercial","solid",NULL,"temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:29","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000027","","","","","","","","",NULL,NULL,NULL,NULL,"","","",NULL,"---
\"-80°C\": 1
"
28,13514,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:31","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000028","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
29,3555,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:32","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000029","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
30,12538,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:32","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000030","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
31,12539,"commercial","solid",NULL,"temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:34","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000031","","","","","","","","",NULL,NULL,NULL,NULL,"","","",NULL,"---
\"-80°C\": 1
"
32,14507,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:34","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000032","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
33,10549,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:35","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000033","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
34,22356,"commercial","solid","30","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:36","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000034","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
35,1490,"commercial","solid","30","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:36","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000035","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
36,12269,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:36","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000036","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
37,21972,"commercial","solid","5","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:37","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000037","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
38,433,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:37","2017-01-19 02:36:10",1,NULL,NULL,NULL,NULL,NULL,10,"PC000038","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
39,22446,"commercial","solid","4","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:38","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000039","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
40,12245,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:38","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000040","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
41,22085,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:39","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000041","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
42,545,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:39","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000042","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
43,1478,"commercial","solid","6","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:39","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000043","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
44,3341,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:40","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000044","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
45,700,"commercial","solid","3","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:40","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000045","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
46,8114,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:42","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000046","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
47,12813,"commercial","solid","3","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:42","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000047","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
48,6427,"commercial","solid","6","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:43","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000048","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
49,22250,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:43","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000049","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
50,13900,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:43","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000050","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
51,22456,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:45","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000051","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
52,1604,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:45","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000052","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
53,22373,"commercial","solid","20","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:45","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000053","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
54,15354,"commercial","solid","4","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:45","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000054","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
55,12783,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:46","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000055","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
56,12683,"commercial","solid","4","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:46","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000056","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
57,7412,"commercial","solid","3","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:46","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000057","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
58,11962,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:47","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000058","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
59,22351,"commercial","solid","30","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:47","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000059","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
60,6454,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:47","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000060","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
61,1977,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:48","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000061","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
62,8294,"commercial","liquid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:49","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000062","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
63,1613,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:50","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000063","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
64,12742,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:50","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000064","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
65,446,"commercial","solid","4","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:51","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000065","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
66,10995,"commercial","solid","5","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:52","2017-01-19 02:36:11",1,NULL,NULL,NULL,NULL,NULL,10,"PC000066","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
