id,"name","gene_name","description","go_classification","general_function","specific_function","pathway","reaction","cellular_location","signals","transmembrane_regions",molecular_weight,theoretical_pi,"locus","chromosome","uniprot_name","uniprot_id","pdb_id","genbank_protein_id","genbank_gene_id","genecard_id","genatlas_id","hgnc_id","hprd_id","organism","general_citations","comments",creator_id,updater_id,"created_at","updated_at"
11,"UDP-glucuronosyltransferase 1-8","UGT1A8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q9HAW9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:40:57","2015-02-23 22:40:57"
12,"UDP-glucuronosyltransferase 1-3","UGT1A3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P35503",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:40:57","2015-02-23 22:40:57"
13,"UDP-glucuronosyltransferase 1-10","UGT1A10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q9HAW8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:40:57","2015-02-23 22:40:57"
14,"UDP-glucuronosyltransferase 2B17","UGT2B17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"O75795",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:40:57","2015-02-23 22:40:57"
15,"UDP-glucuronosyltransferase 1-6","UGT1A6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P19224",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:40:57","2015-02-23 22:40:57"
16,"UDP-glucuronosyltransferase 1-5","UGT1A5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P35504",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:40:57","2015-02-23 22:40:57"
17,"UDP-glucuronosyltransferase 2B11","UGT2B11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"O75310",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:40:57","2015-02-23 22:40:57"
18,"UDP-glucuronosyltransferase 1-7","UGT1A7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q9HAW7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:40:57","2015-02-23 22:40:57"
19,"Sex hormone-binding globulin","SHBG",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P04278",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:40:57","2015-02-23 22:40:57"
20,"Nuclear receptor subfamily 1 group I member 2","NR1I2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"O75469",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:40:57","2015-02-23 22:40:57"
21,"Estrogen receptor","ESR1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P03372",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:40:57","2015-02-23 22:40:57"
22,"UDP-glucuronosyltransferase 2A3","UGT2A3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q6UWM9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:40:57","2015-02-23 22:40:57"
23,"Cytochrome P450, family 1, subfamily A, polypeptide 1","CYP1A1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"A0N0X8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:40:57","2015-02-23 22:40:57"
24,"Cytochrome P450 2D6","CYP2D6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q6NWU0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:40:57","2015-02-23 22:40:57"
25,"Sedoheptulokinase","SHPK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q9UHJ6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:41:13","2015-02-23 22:41:13"
26,"Multiple inositol polyphosphate phosphatase 1","MINPP1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q9UNW1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:41:13","2015-02-23 22:41:13"
27,"Inositol-pentakisphosphate 2-kinase","IPPK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q9H8X2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:41:13","2015-02-23 22:41:13"
28,"Inositol hexakisphosphate kinase 3","IHPK3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q5TAQ4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:41:13","2015-02-23 22:41:13"
29,"Putative uncharacterized protein IP6K1","IP6K1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q92551",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:41:13","2015-02-23 22:41:13"
30,"Aromatic-L-amino-acid decarboxylase","DDC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P20711",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:20","2015-02-23 22:42:20"
31,"Alpha-2A adrenergic receptor","ADRA2A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P08913",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:20","2015-02-23 22:42:20"
32,"Alpha-2B adrenergic receptor","ADRA2B",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P18089",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:20","2015-02-23 22:42:20"
33,"Tyrosine 3-monooxygenase","TH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P07101",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:37","2015-02-23 22:42:37"
34,"Tyrosine aminotransferase","TAT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P17735",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:37","2015-02-23 22:42:37"
35,"Phenylalanine-4-hydroxylase","PAH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P00439",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:38","2015-02-23 22:42:38"
36,"Aspartate aminotransferase, cytoplasmic","GOT1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P17174",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:38","2015-02-23 22:42:38"
37,"Aspartate aminotransferase, mitochondrial","GOT2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P00505",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:38","2015-02-23 22:42:38"
38,"Tyrosine--tRNA ligase, cytoplasmic","YARS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P54577",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:38","2015-02-23 22:42:38"
39,"Tyrosine--tRNA ligase, mitochondrial","YARS2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q9Y2Z4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:38","2015-02-23 22:42:38"
40,"Basic fibroblast growth factor receptor 1","FGFR1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P11362",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:38","2015-02-23 22:42:38"
41,"Epidermal growth factor receptor","EGFR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P00533",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:38","2015-02-23 22:42:38"
42,"Adenosine deaminase","ADA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P00813",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:48","2015-02-23 22:42:48"
43,"Adenosine receptor A1","ADORA1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P30542",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:48","2015-02-23 22:42:48"
44,"Adenosine receptor A2a","ADORA2A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P29274",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:48","2015-02-23 22:42:48"
45,"Adenosine receptor A2b","ADORA2B",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P29275",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:48","2015-02-23 22:42:48"
46,"Aminoadipate-semialdehyde synthase","AASS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"A4D0W4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:42:58","2015-02-23 22:42:58"
47,"Propionyl-CoA carboxylase beta chain, mitochondrial","PCCB",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P05166",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:04","2015-02-23 22:43:04"
48,"Branched-chain-amino-acid aminotransferase, cytosolic","BCAT1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P54687",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:04","2015-02-23 22:43:04"
49,"Branched-chain-amino-acid aminotransferase, mitochondrial","BCAT2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"O15382",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:04","2015-02-23 22:43:04"
50,"Valine--tRNA ligase","VARS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P26640",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:04","2015-02-23 22:43:04"
51,"Valine--tRNA ligase, mitochondrial","VARS2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q5ST30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:04","2015-02-23 22:43:04"
52,"Biotinidase","BTD",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P43251",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:16","2015-02-23 22:43:16"
53,"Lysine--tRNA ligase","KARS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q15046",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:16","2015-02-23 22:43:16"
54,"Lysine-specific demethylase 2A","KDM2A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q9Y2K7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:16","2015-02-23 22:43:16"
55,"Lysine-specific demethylase 2B","KDM2B",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q8NHM5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:17","2015-02-23 22:43:17"
56,"Glycine N-acyltransferase","GLYAT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q6IB77",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:19","2015-02-23 22:43:19"
57,"Glycine N-acyltransferase-like protein 1","GLYATL1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q969I3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:19","2015-02-23 22:43:19"
58,"Glycine N-acyltransferase-like protein 2","GLYATL2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q8WU03",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:19","2015-02-23 22:43:19"
59,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial","GCAT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"O75600",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
60,"Trifunctional purine biosynthetic protein adenosine-3","GART",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P22102",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
61,"Alanine--glyoxylate aminotransferase 2, mitochondrial","AGXT2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q9BYV1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
62,"Glycine amidinotransferase, mitochondrial","GATM",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P50440",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
63,"Bile acid-CoA:amino acid N-acyltransferase","BAAT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q14032",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
64,"Glycine--tRNA ligase","GARS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P41250",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
65,"Aminomethyltransferase, mitochondrial","AMT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P48728",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
66,"Glutathione synthetase","GSS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P48637",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
67,"Serine hydroxymethyltransferase, mitochondrial","SHMT2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P34897",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
68,"Serine hydroxymethyltransferase, cytosolic","SHMT1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P34896",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
69,"Glycine dehydrogenase [decarboxylating], mitochondrial","GLDC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P23378",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
70,"Glycine cleavage system H protein, mitochondrial","GCSH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P23434",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
71,"Vesicular inhibitory amino acid transporter","SLC32A1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q9H598",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
72,"Kynurenine--oxoglutarate transaminase 3","CCBL2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q6YP21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
73,"Serine hydroxymethyltransferase","DKFZp686P09201",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Q5HYG8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:43:31","2015-02-23 22:43:31"
74,"Ornithine aminotransferase, mitochondrial","OAT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P04181",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:44:04","2015-02-23 22:44:04"
75,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2","DDAH2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"O95865",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:44:13","2015-02-23 22:44:13"
76,"Histidine decarboxylase","HDC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P19113",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:44:19","2015-02-23 22:44:19"
77,"Vimentin","VIM",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P08670",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:44:19","2015-02-23 22:44:19"
78,"Heat shock 70 kDa protein 1A/1B","HSPA1A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P08107",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:44:19","2015-02-23 22:44:19"
79,"4-aminobutyrate aminotransferase, mitochondrial","ABAT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P80404",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:45:10","2015-02-23 22:45:10"
80,"Alanine--tRNA ligase, cytoplasmic","AARS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P49588",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:45:10","2015-02-23 22:45:10"
81,"Alanine aminotransferase 1","GPT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"P24298",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:45:10","2015-02-23 22:45:10"
82,"Peptidoglycan recognition protein 1","PGLYRP1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"O75594",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-02-23 22:45:10","2015-02-23 22:45:10"
